# ZDC LUT for HI running 2023, commissioning implementation
# Scaling factor of 1 used for double -> int conversion
#<header> V1 13 32 </header>

0 1 # Scaling Factor
149 9 # [index ibit=148], [index idet=0]
150 10 # [index ibit=149], [index idet=0]
151 10 # [index ibit=150], [index idet=0]
152 11 # [index ibit=151], [index idet=0]
153 11 # [index ibit=152], [index idet=0]
154 12 # [index ibit=153], [index idet=0]
155 12 # [index ibit=154], [index idet=0]
156 12 # [index ibit=155], [index idet=0]
157 13 # [index ibit=156], [index idet=0]
158 13 # [index ibit=157], [index idet=0]
159 14 # [index ibit=158], [index idet=0]
160 14 # [index ibit=159], [index idet=0]
161 14 # [index ibit=160], [index idet=0]
162 15 # [index ibit=161], [index idet=0]
163 15 # [index ibit=162], [index idet=0]
164 16 # [index ibit=163], [index idet=0]
165 16 # [index ibit=164], [index idet=0]
166 17 # [index ibit=165], [index idet=0]
167 18 # [index ibit=166], [index idet=0]
168 19 # [index ibit=167], [index idet=0]
169 20 # [index ibit=168], [index idet=0]
170 20 # [index ibit=169], [index idet=0]
171 21 # [index ibit=170], [index idet=0]
172 22 # [index ibit=171], [index idet=0]
173 23 # [index ibit=172], [index idet=0]
174 24 # [index ibit=173], [index idet=0]
175 25 # [index ibit=174], [index idet=0]
176 25 # [index ibit=175], [index idet=0]
177 26 # [index ibit=176], [index idet=0]
178 27 # [index ibit=177], [index idet=0]
179 28 # [index ibit=178], [index idet=0]
180 29 # [index ibit=179], [index idet=0]
181 29 # [index ibit=180], [index idet=0]
182 30 # [index ibit=181], [index idet=0]
183 31 # [index ibit=182], [index idet=0]
184 32 # [index ibit=183], [index idet=0]
185 33 # [index ibit=184], [index idet=0]
186 34 # [index ibit=185], [index idet=0]
187 36 # [index ibit=186], [index idet=0]
188 37 # [index ibit=187], [index idet=0]
189 39 # [index ibit=188], [index idet=0]
190 41 # [index ibit=189], [index idet=0]
191 42 # [index ibit=190], [index idet=0]
192 44 # [index ibit=191], [index idet=0]
193 41 # [index ibit=192], [index idet=0]
194 42 # [index ibit=193], [index idet=0]
195 44 # [index ibit=194], [index idet=0]
196 46 # [index ibit=195], [index idet=0]
197 47 # [index ibit=196], [index idet=0]
198 49 # [index ibit=197], [index idet=0]
199 51 # [index ibit=198], [index idet=0]
200 52 # [index ibit=199], [index idet=0]
201 54 # [index ibit=200], [index idet=0]
202 55 # [index ibit=201], [index idet=0]
203 57 # [index ibit=202], [index idet=0]
204 59 # [index ibit=203], [index idet=0]
205 60 # [index ibit=204], [index idet=0]
206 62 # [index ibit=205], [index idet=0]
207 64 # [index ibit=206], [index idet=0]
208 65 # [index ibit=207], [index idet=0]
209 68 # [index ibit=208], [index idet=0]
210 71 # [index ibit=209], [index idet=0]
211 74 # [index ibit=210], [index idet=0]
212 77 # [index ibit=211], [index idet=0]
213 81 # [index ibit=212], [index idet=0]
214 84 # [index ibit=213], [index idet=0]
215 87 # [index ibit=214], [index idet=0]
216 90 # [index ibit=215], [index idet=0]
217 94 # [index ibit=216], [index idet=0]
218 97 # [index ibit=217], [index idet=0]
219 100 # [index ibit=218], [index idet=0]
220 103 # [index ibit=219], [index idet=0]
221 106 # [index ibit=220], [index idet=0]
222 110 # [index ibit=221], [index idet=0]
223 113 # [index ibit=222], [index idet=0]
224 116 # [index ibit=223], [index idet=0]
225 119 # [index ibit=224], [index idet=0]
226 123 # [index ibit=225], [index idet=0]
227 126 # [index ibit=226], [index idet=0]
228 129 # [index ibit=227], [index idet=0]
229 134 # [index ibit=228], [index idet=0]
230 141 # [index ibit=229], [index idet=0]
231 147 # [index ibit=230], [index idet=0]
232 154 # [index ibit=231], [index idet=0]
233 160 # [index ibit=232], [index idet=0]
234 167 # [index ibit=233], [index idet=0]
235 173 # [index ibit=234], [index idet=0]
236 179 # [index ibit=235], [index idet=0]
237 186 # [index ibit=236], [index idet=0]
238 192 # [index ibit=237], [index idet=0]
239 199 # [index ibit=238], [index idet=0]
240 205 # [index ibit=239], [index idet=0]
241 212 # [index ibit=240], [index idet=0]
242 218 # [index ibit=241], [index idet=0]
243 225 # [index ibit=242], [index idet=0]
244 231 # [index ibit=243], [index idet=0]
245 238 # [index ibit=244], [index idet=0]
246 244 # [index ibit=245], [index idet=0]
247 251 # [index ibit=246], [index idet=0]
248 257 # [index ibit=247], [index idet=0]
249 264 # [index ibit=248], [index idet=0]
250 274 # [index ibit=249], [index idet=0]
251 287 # [index ibit=250], [index idet=0]
252 299 # [index ibit=251], [index idet=0]
253 312 # [index ibit=252], [index idet=0]
254 325 # [index ibit=253], [index idet=0]
255 338 # [index ibit=254], [index idet=0]
256 351 # [index ibit=255], [index idet=0]
257 0 # [index ibit=0], [index idet=1]
258 0 # [index ibit=1], [index idet=1]
259 0 # [index ibit=2], [index idet=1]
260 0 # [index ibit=3], [index idet=1]
261 0 # [index ibit=4], [index idet=1]
262 0 # [index ibit=5], [index idet=1]
263 0 # [index ibit=6], [index idet=1]
264 0 # [index ibit=7], [index idet=1]
265 0 # [index ibit=8], [index idet=1]
266 0 # [index ibit=9], [index idet=1]
267 0 # [index ibit=10], [index idet=1]
268 0 # [index ibit=11], [index idet=1]
269 0 # [index ibit=12], [index idet=1]
270 0 # [index ibit=13], [index idet=1]
271 0 # [index ibit=14], [index idet=1]
272 0 # [index ibit=15], [index idet=1]
273 0 # [index ibit=16], [index idet=1]
274 0 # [index ibit=17], [index idet=1]
275 0 # [index ibit=18], [index idet=1]
276 0 # [index ibit=19], [index idet=1]
277 0 # [index ibit=20], [index idet=1]
278 0 # [index ibit=21], [index idet=1]
279 0 # [index ibit=22], [index idet=1]
280 0 # [index ibit=23], [index idet=1]
281 0 # [index ibit=24], [index idet=1]
282 0 # [index ibit=25], [index idet=1]
283 0 # [index ibit=26], [index idet=1]
284 0 # [index ibit=27], [index idet=1]
285 0 # [index ibit=28], [index idet=1]
286 0 # [index ibit=29], [index idet=1]
287 0 # [index ibit=30], [index idet=1]
288 0 # [index ibit=31], [index idet=1]
289 0 # [index ibit=32], [index idet=1]
290 0 # [index ibit=33], [index idet=1]
291 0 # [index ibit=34], [index idet=1]
292 0 # [index ibit=35], [index idet=1]
293 0 # [index ibit=36], [index idet=1]
294 0 # [index ibit=37], [index idet=1]
295 0 # [index ibit=38], [index idet=1]
296 0 # [index ibit=39], [index idet=1]
297 0 # [index ibit=40], [index idet=1]
298 0 # [index ibit=41], [index idet=1]
299 0 # [index ibit=42], [index idet=1]
300 0 # [index ibit=43], [index idet=1]
301 0 # [index ibit=44], [index idet=1]
302 0 # [index ibit=45], [index idet=1]
303 0 # [index ibit=46], [index idet=1]
304 0 # [index ibit=47], [index idet=1]
305 0 # [index ibit=48], [index idet=1]
306 0 # [index ibit=49], [index idet=1]
307 0 # [index ibit=50], [index idet=1]
308 0 # [index ibit=51], [index idet=1]
309 0 # [index ibit=52], [index idet=1]
310 0 # [index ibit=53], [index idet=1]
311 0 # [index ibit=54], [index idet=1]
312 0 # [index ibit=55], [index idet=1]
313 0 # [index ibit=56], [index idet=1]
314 0 # [index ibit=57], [index idet=1]
